epoch,lr-AdamW,step,test_loss,test_top1,test_top3,test_top5,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5
,0.031,0,,,,,,,,,,,,
0,,19,,,,,,,,,9.575753211975098,3.4482758045196533,10.344827651977539,17.241378784179688
0,,19,,,,,148490.953125,4.105090141296387,11.330049514770508,17.07717514038086,,,,
,0.031,20,,,,,,,,,,,,
1,,39,,,,,,,,,10.186654090881348,3.4482758045196533,10.344827651977539,17.241378784179688
1,,39,,,,,11.611211776733398,3.6124794483184814,10.016420364379883,18.71921157836914,,,,
,0.031,40,,,,,,,,,,,,
2,,59,,,,,,,,,30.03788185119629,3.4482758045196533,10.344827651977539,17.241378784179688
2,,59,,,,,11.165702819824219,3.284072160720825,9.35960578918457,15.106732368469238,,,,
,0.031,60,,,,,,,,,,,,
3,,79,,,,,,,,,6.598507404327393,3.4482758045196533,10.344827651977539,17.241378784179688
3,,79,,,,,11.55182933807373,2.79146146774292,10.016420364379883,17.898193359375,,,,
,0.031,80,,,,,,,,,,,,
4,,99,,,,,,,,,5.703101634979248,3.4482758045196533,10.344827651977539,17.241378784179688
4,,99,,,,,6.177971839904785,2.4630541801452637,7.717569828033447,14.285714149475098,,,,
,0.031,100,,,,,,,,,,,,
5,,119,,,,,,,,,3.841665029525757,3.4482758045196533,10.344827651977539,17.241378784179688
5,,119,,,,,4.558897495269775,4.269293785095215,11.330049514770508,18.226600646972656,,,,
,0.031,120,,,,,,,,,,,,
6,,139,,,,,,,,,3.7916319370269775,3.4482758045196533,10.344827651977539,17.241378784179688
6,,139,,,,,3.739666700363159,3.7766830921173096,8.53858757019043,15.76354694366455,,,,
,0.031,140,,,,,,,,,,,,
7,,159,,,,,,,,,3.577915906906128,3.4482758045196533,10.344827651977539,17.241378784179688
7,,159,,,,,3.7361929416656494,2.4630541801452637,8.045976638793945,13.628899574279785,,,,
,0.031,160,,,,,,,,,,,,
8,,179,,,,,,,,,3.495718479156494,3.4482758045196533,10.344827651977539,17.241378784179688
8,,179,,,,,3.6953718662261963,2.955665111541748,9.35960578918457,16.25615692138672,,,,
,0.031,180,,,,,,,,,,,,
9,,199,,,,,,,,,3.4438579082489014,3.4482758045196533,10.344827651977539,17.241378784179688
9,,199,,,,,3.469074010848999,4.433497428894043,12.643677711486816,18.390804290771484,,,,
,0.031,200,,,,,,,,,,,,
10,,219,,,,,,,,,3.6497671604156494,3.4482758045196533,10.344827651977539,17.241378784179688
10,,219,,,,,3.5090584754943848,3.284072160720825,8.866994857788086,17.241378784179688,,,,
,0.031,220,,,,,,,,,,,,
11,,239,,,,,,,,,3.7209463119506836,3.4482758045196533,10.344827651977539,17.241378784179688
11,,239,,,,,3.501835584640503,3.284072160720825,9.35960578918457,15.435139656066895,,,,
,0.031,240,,,,,,,,,,,,
12,,259,,,,,,,,,4.632963180541992,3.4482758045196533,10.344827651977539,17.241378784179688
12,,259,,,,,3.7128031253814697,4.105090141296387,11.658456802368164,17.733989715576172,,,,
,0.031,260,,,,,,,,,,,,
13,,279,,,,,,,,,3.5328824520111084,3.4482758045196533,10.344827651977539,17.241378784179688
13,,279,,,,,4.18873929977417,3.4482758045196533,9.35960578918457,14.778325080871582,,,,
,0.021699999999999997,280,,,,,,,,,,,,
14,,299,,,,,,,,,4.910181522369385,3.4482758045196533,10.344827651977539,17.241378784179688
14,,299,,,,,3.6391165256500244,2.79146146774292,8.866994857788086,15.927750587463379,,,,
,0.021699999999999997,300,,,,,,,,,,,,
15,,319,,,,,,,,,3.778576374053955,3.4482758045196533,10.344827651977539,17.241378784179688
15,,319,,,,,3.8889949321746826,1.9704433679580688,8.374383926391602,13.957306861877441,,,,
,0.021699999999999997,320,,,,,,,,,,,,
16,,339,,,,,,,,,3.9987998008728027,3.4482758045196533,10.344827651977539,17.241378784179688
16,,339,,,,,3.5527219772338867,3.4482758045196533,8.866994857788086,15.76354694366455,,,,
,0.021699999999999997,340,,,,,,,,,,,,
17,,359,,,,,,,,,3.952023983001709,3.4482758045196533,10.344827651977539,17.241378784179688
17,,359,,,,,3.629067897796631,3.7766830921173096,10.344827651977539,16.584564208984375,,,,
,0.021699999999999997,360,,,,,,,,,,,,
18,,379,,,,,,,,,3.6273560523986816,3.4482758045196533,10.344827651977539,17.241378784179688
18,,379,,,,,3.6399714946746826,2.955665111541748,9.852216720581055,16.420360565185547,,,,
,0.015189999999999997,380,,,,,,,,,,,,
19,,399,,,,,,,,,3.5913169384002686,3.4482758045196533,10.344827651977539,17.241378784179688
19,,399,,,,,3.5220885276794434,3.4482758045196533,10.016420364379883,18.555007934570312,,,,
20,,400,,,,,,,,,3.5913169384002686,3.4482758045196533,10.344827651977539,17.241378784179688
20,,400,3.5913162231445312,3.4482758045196533,10.344827651977539,17.241378784179688,,,,,,,,
