epoch,lr-AdamW,step,test_loss,test_top1,test_top3,test_top5,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5
,0.010999999999999998,0,,,,,,,,,,,,
0,,2,,,,,,,,,3.3131933212280273,3.7037036418914795,11.11111068725586,18.518518447875977
0,,2,,,,,3.3770499229431152,3.9682538509368896,8.994709014892578,15.343914985656738,,,,
,0.010999999999999998,3,,,,,,,,,,,,
1,,5,,,,,,,,,3.339345693588257,3.7037036418914795,11.11111068725586,18.518518447875977
1,,5,,,,,3.309748888015747,3.174603223800659,8.201058387756348,15.343914985656738,,,,
,0.010999999999999998,6,,,,,,,,,,,,
2,,8,,,,,,,,,3.317290782928467,3.7037036418914795,11.11111068725586,18.518518447875977
2,,8,,,,,3.314457416534424,2.910053014755249,10.582010269165039,17.460317611694336,,,,
,0.010999999999999998,9,,,,,,,,,,,,
3,,11,,,,,,,,,3.3046162128448486,3.7037036418914795,11.11111068725586,18.518518447875977
3,,11,,,,,3.2839884757995605,2.910053014755249,9.788359642028809,16.66666603088379,,,,
,0.010999999999999998,12,,,,,,,,,,,,
4,,14,,,,,,,,,3.3119962215423584,3.7037036418914795,11.11111068725586,19.75308609008789
4,,14,,,,,3.283175468444824,4.232804298400879,10.582010269165039,17.989418029785156,,,,
,0.010999999999999998,15,,,,,,,,,,,,
5,,17,,,,,,,,,3.3050737380981445,6.172839164733887,12.345678329467773,17.283950805664062
5,,17,,,,,3.2918190956115723,3.7037036418914795,9.788359642028809,19.047618865966797,,,,
,0.010999999999999998,18,,,,,,,,,,,,
6,,20,,,,,,,,,3.2954795360565186,3.7037036418914795,14.814814567565918,20.987653732299805
6,,20,,,,,3.2778842449188232,2.910053014755249,9.259259223937988,16.931217193603516,,,,
,0.010999999999999998,21,,,,,,,,,,,,
7,,23,,,,,,,,,3.300638437271118,3.7037036418914795,12.345678329467773,22.22222137451172
7,,23,,,,,3.2749688625335693,2.910053014755249,12.169312477111816,16.66666603088379,,,,
,0.010999999999999998,24,,,,,,,,,,,,
8,,26,,,,,,,,,3.2936081886291504,7.407407283782959,13.580246925354004,20.987653732299805
8,,26,,,,,3.2700233459472656,2.3809523582458496,11.640212059020996,17.989418029785156,,,,
,0.010999999999999998,27,,,,,,,,,,,,
9,,29,,,,,,,,,3.291856527328491,3.7037036418914795,11.11111068725586,20.987653732299805
9,,29,,,,,3.2642383575439453,4.761904716491699,12.698412895202637,20.899471282958984,,,,
,0.010999999999999998,30,,,,,,,,,,,,
