epoch,lr-AdamW,step,test_loss,test_top1,test_top3,test_top5,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5
,0.001,0,,,,,,,,,,,,
0,,61,,,,,,,,,5.444809436798096,0.6499119400978088,2.950941562652588,5.524785041809082
0,,61,,,,,5.503638744354248,0.38533055782318115,0.980836808681488,2.0981051921844482,,,,
,0.001,62,,,,,,,,,,,,
1,,123,,,,,,,,,4.9421210289001465,3.380133628845215,9.51192855834961,11.474445343017578
1,,123,,,,,5.291622638702393,0.7095080614089966,1.852338433265686,3.7550930976867676,,,,
,0.001,124,,,,,,,,,,,,
2,,185,,,,,,,,,4.416571617126465,8.504150390625,19.363000869750977,26.718053817749023
2,,185,,,,,4.751368522644043,2.6819865703582764,9.05079174041748,13.653707504272461,,,,
,0.001,186,,,,,,,,,,,,
3,,247,,,,,,,,,3.8037803173065186,17.886425018310547,35.745182037353516,47.63606262207031
3,,247,,,,,4.098052024841309,10.458978652954102,22.153791427612305,30.802080154418945,,,,
,0.001,248,,,,,,,,,,,,
4,,309,,,,,,,,,3.2718608379364014,29.806432723999023,54.21377944946289,62.74373245239258
4,,309,,,,,3.554565191268921,19.19585609436035,38.54262924194336,50.33701705932617,,,,
,0.001,310,,,,,,,,,,,,
5,,371,,,,,,,,,2.7776577472686768,44.28007888793945,67.02903747558594,77.15363311767578
5,,371,,,,,2.955084800720215,34.1558837890625,58.72274398803711,73.4244613647461,,,,
,0.001,372,,,,,,,,,,,,
6,,433,,,,,,,,,2.4234812259674072,56.930397033691406,75.75397491455078,83.96832275390625
6,,433,,,,,2.466063976287842,50.27976608276367,74.99234008789062,84.32125854492188,,,,
,0.001,434,,,,,,,,,,,,
7,,495,,,,,,,,,2.120720624923706,63.55696105957031,81.07821655273438,86.0035400390625
7,,495,,,,,2.0912106037139893,62.24740982055664,83.65032958984375,92.7169189453125,,,,
,0.001,496,,,,,,,,,,,,
8,,557,,,,,,,,,1.826078176498413,68.4424057006836,85.12837219238281,89.67113494873047
8,,557,,,,,1.6648077964782715,72.16848754882812,91.74760437011719,96.52918243408203,,,,
,0.001,558,,,,,,,,,,,,
9,,619,,,,,,,,,1.5656828880310059,71.77973175048828,87.51972198486328,91.17967987060547
9,,619,,,,,1.3385472297668457,81.62920379638672,96.44524383544922,98.66656494140625,,,,
,0.001,620,,,,,,,,,,,,
10,,681,,,,,,,,,1.3225654363632202,77.61517333984375,93.03633117675781,94.93350982666016
10,,681,,,,,1.1109373569488525,83.5240478515625,97.05587768554688,98.81958770751953,,,,
,0.001,682,,,,,,,,,,,,
11,,743,,,,,,,,,1.1918973922729492,81.86759948730469,91.03413391113281,93.70692443847656
11,,743,,,,,0.8630895018577576,89.79183959960938,98.81441497802734,99.71844482421875,,,,
,0.001,744,,,,,,,,,,,,
12,,805,,,,,,,,,1.0081367492675781,83.51891326904297,92.4071273803711,94.37347412109375
12,,805,,,,,0.7086908221244812,92.67341613769531,99.12679290771484,99.81492614746094,,,,
,0.001,806,,,,,,,,,,,,
13,,867,,,,,,,,,0.9477370977401733,79.97392272949219,91.58079528808594,94.14183807373047
13,,867,,,,,0.561702311038971,94.91284942626953,99.78732299804688,99.89118957519531,,,,
,0.001,868,,,,,,,,,,,,
14,,929,,,,,,,,,0.8351190090179443,85.99017333984375,91.76851654052734,94.64095306396484
14,,929,,,,,0.47735992074012756,95.90570068359375,99.8508071899414,100.0,,,,
,0.001,930,,,,,,,,,,,,
15,,991,,,,,,,,,0.7183553576469421,86.83829498291016,94.32691192626953,96.25467681884766
15,,991,,,,,0.37621307373046875,98.14788818359375,99.99999237060547,99.99999237060547,,,,
,0.001,992,,,,,,,,,,,,
16,,1053,,,,,,,,,0.6826953291893005,87.02235412597656,93.54463195800781,95.16632843017578
16,,1053,,,,,0.30181440711021423,98.48153686523438,100.00001525878906,100.00001525878906,,,,
,0.001,1054,,,,,,,,,,,,
17,,1115,,,,,,,,,0.6134204268455505,87.23336791992188,95.06388854980469,97.45477294921875
17,,1115,,,,,0.2442941814661026,98.81395721435547,100.00001525878906,100.00001525878906,,,,
,0.001,1116,,,,,,,,,,,,
18,,1177,,,,,,,,,0.6122627854347229,85.61286163330078,93.2837905883789,95.91814422607422
18,,1177,,,,,0.23113587498664856,98.69701385498047,99.91423797607422,100.00001525878906,,,,
,0.001,1178,,,,,,,,,,,,
19,,1239,,,,,,,,,0.5728299617767334,86.67076110839844,94.29039001464844,95.89020538330078
19,,1239,,,,,0.19652535021305084,99.31319427490234,100.0,100.0,,,,
20,,1240,,,,,,,,,0.5728299617767334,86.67076110839844,94.29039001464844,95.89020538330078
20,,1240,0.7557207942008972,85.54837036132812,91.5915298461914,93.20723724365234,,,,,,,,
