epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test_loss,test_top1,test_top3,test_top5,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5
,0.0001,0.001,0,,,,,,,,,,,,
0,,,7,,,,,,,,,3.3692071437835693,5.1724138259887695,10.344827651977539,17.672412872314453
0,,,7,,,,,3.3960185050964355,3.054187297821045,9.06403923034668,14.285714149475098,,,,
,0.0001,0.001,8,,,,,,,,,,,,
1,,,15,,,,,,,,,3.367169141769409,3.4482758045196533,10.344827651977539,19.39655113220215
1,,,15,,,,,3.3737294673919678,3.1527092456817627,9.162561416625977,15.960591316223145,,,,
,0.0001,0.001,16,,,,,,,,,,,,
2,,,23,,,,,,,,,3.3653600215911865,3.4482758045196533,10.775861740112305,21.55172348022461
2,,,23,,,,,3.3698008060455322,2.7586207389831543,8.965517044067383,15.862069129943848,,,,
,0.0001,0.001,24,,,,,,,,,,,,
3,,,31,,,,,,,,,3.36328125,3.4482758045196533,11.637930870056152,21.55172348022461
3,,,31,,,,,3.3663790225982666,3.645320177078247,10.541872024536133,17.733989715576172,,,,
,0.0001,0.001,32,,,,,,,,,,,,
4,,,39,,,,,,,,,3.3612685203552246,2.5862069129943848,17.241378784179688,24.13793182373047
4,,,39,,,,,3.3645546436309814,3.842364549636841,11.527093887329102,20.886699676513672,,,,
,0.0001,0.001,40,,,,,,,,,,,,
5,,,47,,,,,,,,,3.35839581489563,3.4482758045196533,15.086206436157227,25.86206817626953
5,,,47,,,,,3.362644672393799,3.2512314319610596,12.512314796447754,23.74384307861328,,,,
,0.0001,0.001,48,,,,,,,,,,,,
6,,,55,,,,,,,,,3.354828357696533,3.879310369491577,21.55172348022461,30.172412872314453
6,,,55,,,,,3.3593993186950684,5.714285850524902,18.42364501953125,28.177339553833008,,,,
,0.0001,0.001,56,,,,,,,,,,,,
7,,,63,,,,,,,,,3.349886178970337,9.482758522033691,22.84482765197754,34.91379165649414
7,,,63,,,,,3.3550610542297363,7.684729099273682,19.40886688232422,30.837438583374023,,,,
,0.0001,0.001,64,,,,,,,,,,,,
8,,,71,,,,,,,,,3.3422718048095703,15.948275566101074,33.18965530395508,42.24137878417969
8,,,71,,,,,3.349806547164917,9.261083602905273,22.56157684326172,35.96059036254883,,,,
,0.0001,0.001,72,,,,,,,,,,,,
9,,,79,,,,,,,,,3.331439733505249,15.086206436157227,27.586206436157227,41.379310607910156
9,,,79,,,,,3.34317946434021,11.330049514770508,25.123151779174805,35.66502380371094,,,,
,0.0001,0.001,80,,,,,,,,,,,,
10,,,87,,,,,,,,,3.3129286766052246,16.810344696044922,36.63793182373047,50.0
10,,,87,,,,,3.3293983936309814,10.93596076965332,26.699506759643555,38.02955627441406,,,,
,0.0001,0.001,88,,,,,,,,,,,,
11,,,95,,,,,,,,,3.2812931537628174,21.120689392089844,44.82758712768555,64.6551742553711
11,,,95,,,,,3.3089771270751953,14.384236335754395,26.699506759643555,43.0541877746582,,,,
,0.0001,0.001,96,,,,,,,,,,,,
12,,,103,,,,,,,,,3.223224401473999,15.086206436157227,40.517242431640625,56.89655303955078
12,,,103,,,,,3.272897243499756,14.876847267150879,37.53694534301758,52.41379165649414,,,,
,0.0001,0.001,104,,,,,,,,,,,,
13,,,111,,,,,,,,,3.121554136276245,34.482757568359375,51.2931022644043,65.94827270507812
13,,,111,,,,,3.2048757076263428,19.40886688232422,39.507389068603516,54.67980194091797,,,,
,0.0001,0.001,112,,,,,,,,,,,,
14,,,119,,,,,,,,,2.9697797298431396,15.517241477966309,32.32758712768555,52.58620834350586
14,,,119,,,,,3.0801501274108887,20.788177490234375,46.4039421081543,62.75862121582031,,,,
,0.0001,0.001,120,,,,,,,,,,,,
15,,,127,,,,,,,,,2.8268940448760986,18.10344886779785,47.41379165649414,66.81034851074219
15,,,127,,,,,2.923264503479004,19.901477813720703,44.43349838256836,61.083744049072266,,,,
,0.0001,0.001,128,,,,,,,,,,,,
16,,,135,,,,,,,,,2.606710433959961,30.60344886779785,59.91379165649414,78.44827270507812
16,,,135,,,,,2.8028438091278076,16.354679107666016,43.940887451171875,59.31034469604492,,,,
,0.0001,0.001,136,,,,,,,,,,,,
17,,,143,,,,,,,,,2.5079243183135986,19.39655113220215,50.431034088134766,67.67241668701172
17,,,143,,,,,2.6456987857818604,22.364532470703125,49.4581298828125,66.79802703857422,,,,
,0.0001,0.001,144,,,,,,,,,,,,
18,,,151,,,,,,,,,2.3589797019958496,23.70689582824707,57.32758712768555,78.87931060791016
18,,,151,,,,,2.474632501602173,27.881772994995117,57.43842315673828,78.22660064697266,,,,
,0.0001,0.001,152,,,,,,,,,,,,
19,,,159,,,,,,,,,2.172286033630371,38.7931022644043,67.67241668701172,88.79310607910156
19,,,159,,,,,2.3066859245300293,31.23152732849121,65.12315368652344,83.05418395996094,,,,
,0.0001,0.001,160,,,,,,,,,,,,
20,,,167,,,,,,,,,2.039062976837158,35.344825744628906,70.25862121582031,90.51724243164062
20,,,167,,,,,2.160069465637207,36.25615692138672,67.48768615722656,84.53202056884766,,,,
,0.0001,0.001,168,,,,,,,,,,,,
21,,,175,,,,,,,,,1.8892786502838135,36.2068977355957,79.31034851074219,92.67241668701172
21,,,175,,,,,2.0372936725616455,36.650245666503906,70.5418701171875,86.5024642944336,,,,
,0.0001,0.001,176,,,,,,,,,,,,
22,,,183,,,,,,,,,1.8492319583892822,35.344825744628906,73.70689392089844,86.20689392089844
22,,,183,,,,,1.9207313060760498,35.073890686035156,73.8916244506836,90.44335174560547,,,,
,0.0001,0.001,184,,,,,,,,,,,,
23,,,191,,,,,,,,,1.7088199853897095,40.517242431640625,78.01724243164062,93.53448486328125
23,,,191,,,,,1.8233354091644287,39.40886688232422,73.20197296142578,87.48768615722656,,,,
,0.0001,0.001,192,,,,,,,,,,,,
24,,,199,,,,,,,,,1.6510567665100098,44.39655303955078,78.44827270507812,92.67241668701172
24,,,199,,,,,1.746678352355957,40.788177490234375,74.38423919677734,91.62561798095703,,,,
,0.0001,0.001,200,,,,,,,,,,,,
25,,,207,,,,,,,,,1.6069170236587524,41.81034469604492,75.86206817626953,94.82758331298828
25,,,207,,,,,1.658639907836914,45.32019805908203,78.02955627441406,90.93595886230469,,,,
,0.0001,0.001,208,,,,,,,,,,,,
26,,,215,,,,,,,,,1.5196319818496704,48.7068977355957,84.9137954711914,95.25862121582031
26,,,215,,,,,1.5976839065551758,46.69950866699219,79.31034851074219,91.52709197998047,,,,
,0.0001,0.001,216,,,,,,,,,,,,
27,,,223,,,,,,,,,1.4258438348770142,52.58620834350586,86.63793182373047,95.25862121582031
27,,,223,,,,,1.5919055938720703,45.221675872802734,78.916259765625,91.23152923583984,,,,
,0.0001,0.001,224,,,,,,,,,,,,
28,,,231,,,,,,,,,1.4542033672332764,45.68965530395508,80.17241668701172,92.67241668701172
28,,,231,,,,,1.5204905271530151,49.261085510253906,80.49260711669922,92.21675109863281,,,,
,0.0001,0.001,232,,,,,,,,,,,,
29,,,239,,,,,,,,,1.3656808137893677,53.017242431640625,82.32758331298828,94.82758331298828
29,,,239,,,,,1.495538592338562,49.655174255371094,78.7192153930664,92.01970672607422,,,,
,0.0001,0.001,240,,,,,,,,,,,,
30,,,247,,,,,,,,,1.3240132331848145,54.74137878417969,86.63793182373047,96.12068939208984
30,,,247,,,,,1.4292187690734863,53.201969146728516,82.36453247070312,94.48275756835938,,,,
,0.0001,0.001,248,,,,,,,,,,,,
31,,,255,,,,,,,,,1.3440980911254883,53.017242431640625,83.62068939208984,93.96551513671875
31,,,255,,,,,1.4158947467803955,49.950740814208984,81.37931060791016,94.08866882324219,,,,
,0.0001,0.001,256,,,,,,,,,,,,
32,,,263,,,,,,,,,1.342995524406433,55.17241287231445,83.62068939208984,93.53448486328125
32,,,263,,,,,1.4216585159301758,50.344825744628906,80.29556274414062,91.92118072509766,,,,
,0.0001,0.001,264,,,,,,,,,,,,
33,,,271,,,,,,,,,1.2479766607284546,56.89655303955078,87.06896209716797,94.39655303955078
33,,,271,,,,,1.3623722791671753,53.694580078125,82.16748809814453,93.30049133300781,,,,
,0.0001,0.001,272,,,,,,,,,,,,
34,,,279,,,,,,,,,1.1927231550216675,62.068965911865234,87.06896209716797,95.25862121582031
34,,,279,,,,,1.2923173904418945,53.891624450683594,85.32019805908203,95.36946105957031,,,,
,0.0001,0.001,280,,,,,,,,,,,,
35,,,287,,,,,,,,,1.1643004417419434,60.77586364746094,88.36206817626953,96.98275756835938
35,,,287,,,,,1.2576113939285278,56.9458122253418,85.61576080322266,95.17241668701172,,,,
,0.0001,0.001,288,,,,,,,,,,,,
36,,,295,,,,,,,,,1.1518099308013916,59.482757568359375,86.63793182373047,96.98275756835938
36,,,295,,,,,1.2102590799331665,58.32512283325195,87.1921157836914,95.5665054321289,,,,
,0.0001,0.001,296,,,,,,,,,,,,
37,,,303,,,,,,,,,1.1278464794158936,59.482757568359375,88.79310607910156,95.68965148925781
37,,,303,,,,,1.189284324645996,60.0985221862793,87.09359741210938,95.5665054321289,,,,
,0.0001,0.001,304,,,,,,,,,,,,
38,,,311,,,,,,,,,1.1072112321853638,54.74137878417969,86.63793182373047,96.55172729492188
38,,,311,,,,,1.1710681915283203,59.211822509765625,85.81280517578125,94.87684631347656,,,,
,0.0001,0.001,312,,,,,,,,,,,,
39,,,319,,,,,,,,,1.082661509513855,63.36206817626953,88.79310607910156,95.25862121582031
39,,,319,,,,,1.1334339380264282,61.28078842163086,87.38916015625,96.35468292236328,,,,
40,,,320,,,,,,,,,1.082661509513855,63.36206817626953,88.79310607910156,95.25862121582031
40,,,320,1.1529525518417358,57.635467529296875,86.20689392089844,96.05911254882812,,,,,,,,
