epoch,lr-AdamW,step,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5
15,,143,0.10650746524333954,100.0,100.0,100.0,,,,
,0.001,144,,,,,,,,
16,,152,,,,,0.25602447986602783,93.34490966796875,100.0,100.0
16,,152,0.08373353630304337,100.0,100.0,100.0,,,,
,0.001,153,,,,,,,,
17,,161,,,,,0.2266118973493576,93.34490966796875,100.0,100.0
17,,161,0.07446934282779694,100.0,100.0,100.0,,,,
,0.001,162,,,,,,,,
18,,170,,,,,0.2098720222711563,93.34490966796875,100.0,100.0
18,,170,0.06794024258852005,100.0,100.0,100.0,,,,
,0.001,171,,,,,,,,
19,,179,,,,,0.22258254885673523,93.34490966796875,100.0,100.0
19,,179,0.0563642717897892,100.0,100.0,100.0,,,,
,0.001,180,,,,,,,,
20,,188,,,,,0.21986258029937744,93.34490966796875,100.0,100.0
20,,188,0.04897472262382507,100.0,100.0,100.0,,,,
,0.001,189,,,,,,,,
21,,197,,,,,0.21087679266929626,93.34490966796875,100.0,100.0
21,,197,0.0433412566781044,100.0,100.0,100.0,,,,
,0.001,198,,,,,,,,
22,,206,,,,,0.20035184919834137,93.34490966796875,100.0,100.0
22,,206,0.04012148827314377,100.0,100.0,100.0,,,,
,0.001,207,,,,,,,,
23,,215,,,,,0.1944199949502945,93.34490966796875,100.0,100.0
23,,215,0.0403008870780468,100.0,100.0,100.0,,,,
,0.001,216,,,,,,,,
24,,224,,,,,0.18451182544231415,93.34490966796875,100.0,100.0
24,,224,0.034760527312755585,100.0,100.0,100.0,,,,
,0.001,225,,,,,,,,
25,,233,,,,,0.18041285872459412,93.34490966796875,100.0,100.0
25,,233,0.03391120210289955,100.0,100.0,100.0,,,,
,0.001,234,,,,,,,,
26,,242,,,,,0.1890476942062378,93.34490966796875,100.0,100.0
26,,242,0.030155736953020096,100.0,100.0,100.0,,,,
,0.001,243,,,,,,,,
27,,251,,,,,0.18388038873672485,93.34490966796875,100.0,100.0
27,,251,0.0299009270966053,100.0,100.0,100.0,,,,
,0.001,252,,,,,,,,
28,,260,,,,,0.17609862983226776,93.34490966796875,100.0,100.0
28,,260,0.028307341039180756,100.0,100.0,100.0,,,,
,0.001,261,,,,,,,,
29,,269,,,,,0.1716250777244568,93.34490966796875,100.0,100.0
29,,269,0.026836702600121498,100.0,100.0,100.0,,,,
,0.001,270,,,,,,,,
30,,278,,,,,0.17184285819530487,93.34490966796875,100.0,100.0
30,,278,0.023744402453303337,100.0,100.0,100.0,,,,
,0.001,279,,,,,,,,
31,,287,,,,,0.16926901042461395,93.34490966796875,100.0,100.0
31,,287,0.02258944697678089,100.0,100.0,100.0,,,,
,0.001,288,,,,,,,,
32,,296,,,,,0.16995491087436676,93.34490966796875,100.0,100.0
32,,296,0.021694624796509743,100.0,100.0,100.0,,,,
,0.001,297,,,,,,,,
33,,305,,,,,0.16855305433273315,93.34490966796875,100.0,100.0
33,,305,0.020290980115532875,100.0,100.0,100.0,,,,
