val_loss,val_top1,val_top3,val_top5,train_loss,train_top1,train_top3,train_top5,epoch,language,model,exp_name,train_mse,train_cos,train_perceptual,val_mse,val_cos,val_perceptual
3.6839189529418945,2.404991626739502,4.809983253479004,11.091917991638184,3.8127851486206055,2.2589330673217773,4.773731708526611,8.022951126098633,0,es,listener,transparency_v1,,,,,,
3.7001519203186035,5.079439163208008,5.079439163208008,10.024150848388672,3.7140181064605713,2.108680486679077,7.558441638946533,11.845757484436035,1,es,listener,transparency_v1,,,,,,
3.6668930053710938,2.404991626739502,10.542061805725098,10.542061805725098,3.680859327316284,2.8353824615478516,8.957027435302734,13.84404182434082,2,es,listener,transparency_v1,,,,,,
3.659144401550293,0.0,10.142906188964844,14.41900634765625,3.6812102794647217,2.5175514221191406,7.570072174072266,11.307245254516602,3,es,listener,transparency_v1,,,,,,
3.6585240364074707,5.939643383026123,11.879286766052246,20.285812377929688,3.653411626815796,2.9081649780273438,11.227825164794922,16.907182693481445,4,es,listener,transparency_v1,,,,,,
3.666059970855713,0.6686119437217712,11.879286766052246,13.216510772705078,3.63321590423584,4.636063575744629,12.757953643798828,19.60420799255371,5,es,listener,transparency_v1,,,,,,
3.5856454372406006,10.0081787109375,23.416282653808594,28.28815460205078,3.5978450775146484,6.063253879547119,15.725286483764648,25.133604049682617,6,es,listener,transparency_v1,,,,,,
3.546391010284424,0.6686119437217712,14.211441040039062,29.16433334350586,3.5671186447143555,8.029769897460938,17.544639587402344,26.953380584716797,7,es,listener,transparency_v1,,,,,,
3.483095645904541,8.018314361572266,17.166290283203125,24.904203414916992,3.4923465251922607,12.016741752624512,26.888078689575195,35.38435745239258,8,es,listener,transparency_v1,,,,,,
3.255828380584717,17.611364364624023,49.03501510620117,57.51437759399414,3.3752288818359375,13.451794624328613,29.239337921142578,43.89393615722656,9,es,listener,transparency_v1,,,,,,
3.060086250305176,23.416282653808594,53.50270462036133,63.31929397583008,3.182295560836792,19.013832092285156,45.90956497192383,56.776023864746094,10,es,listener,transparency_v1,,,,,,
2.7591629028320312,29.490650177001953,62.59381866455078,70.40457153320312,2.9092092514038086,30.104825973510742,58.34003448486328,67.65254211425781,11,es,listener,transparency_v1,,,,,,
2.4953675270080566,40.64446258544922,67.13937377929688,78.15845489501953,2.5872104167938232,44.330135345458984,69.26827239990234,80.24977111816406,12,es,listener,transparency_v1,,,,,,
2.1628408432006836,53.44584274291992,80.8897705078125,87.7055892944336,2.2957563400268555,57.49480056762695,81.35771942138672,89.08211517333984,13,es,listener,transparency_v1,,,,,,
1.9301447868347168,58.1989631652832,84.6319808959961,90.1105728149414,1.9857730865478516,65.93281555175781,88.01901245117188,93.07237243652344,14,es,listener,transparency_v1,,,,,,
1.7582520246505737,69.73595428466797,87.03697204589844,91.31307220458984,1.7235890626907349,77.34302520751953,93.58258819580078,96.73731231689453,15,es,listener,transparency_v1,,,,,,
1.5291485786437988,74.14678192138672,87.7055892944336,93.18417358398438,1.476051688194275,82.35002899169922,94.48925018310547,98.03821563720703,16,es,listener,transparency_v1,,,,,,
1.3909722566604614,71.60706329345703,93.18417358398438,95.58917236328125,1.244816541671753,85.6955337524414,96.44527435302734,99.15361785888672,17,es,listener,transparency_v1,,,,,,
1.2228628396987915,77.88899993896484,93.18417358398438,96.79166412353516,1.0622159242630005,91.03269958496094,99.01725769042969,100.0,18,es,listener,transparency_v1,,,,,,
1.1100696325302124,78.69233703613281,91.98168182373047,96.79166412353516,0.9211650490760803,93.64326477050781,99.37643432617188,100.0,19,es,listener,transparency_v1,,,,,,
0.9838207960128784,80.42871856689453,94.38668060302734,97.99417114257812,0.7696540355682373,96.75352478027344,99.82164764404297,100.0,20,es,listener,transparency_v1,,,,,,
0.9168756008148193,81.55838012695312,92.51557159423828,97.99417114257812,0.65952068567276,97.23760223388672,99.06768035888672,99.36988830566406,21,es,listener,transparency_v1,,,,,,
0.8663920760154724,82.76087188720703,94.38668060302734,96.79166412353516,0.5590945482254028,97.43218994140625,99.7153091430664,100.0,22,es,listener,transparency_v1,,,,,,
0.8031293749809265,83.96337127685547,94.38668060302734,97.99417114257812,0.47021546959877014,98.52001190185547,100.0,100.0,23,es,listener,transparency_v1,,,,,,
0.7893860936164856,80.56344604492188,89.11563873291016,95.58917236328125,0.4202423393726349,98.89091491699219,99.7705307006836,100.0,24,es,listener,transparency_v1,,,,,,
0.7071500420570374,87.7055892944336,94.38668060302734,97.99417114257812,0.36938953399658203,98.68717193603516,100.0,100.0,25,es,listener,transparency_v1,,,,,,
0.7156923413276672,84.09809875488281,94.38668060302734,96.79166412353516,0.32539644837379456,99.20364379882812,100.0,100.0,26,es,listener,transparency_v1,,,,,,
0.6400986313819885,84.6319808959961,96.79166412353516,97.99417114257812,0.27891141176223755,100.0,100.0,100.0,27,es,listener,transparency_v1,,,,,,
0.6607002019882202,81.76593780517578,94.38668060302734,96.79166412353516,0.24320943653583527,100.0,100.0,100.0,28,es,listener,transparency_v1,,,,,,
0.6030673384666443,88.9080810546875,95.58917236328125,97.99417114257812,0.2075614482164383,100.0,100.0,100.0,29,es,listener,transparency_v1,,,,,,
0.604458212852478,86.50308990478516,95.58917236328125,97.99417114257812,0.18422234058380127,100.0,100.0,100.0,30,es,listener,transparency_v1,,,,,,
0.5794231295585632,84.6319808959961,93.18417358398438,96.79166412353516,0.16770696640014648,100.0,100.0,100.0,31,es,listener,transparency_v1,,,,,,
0.5690529346466064,85.83447265625,94.38668060302734,97.99417114257812,0.1487184315919876,100.0,100.0,100.0,32,es,listener,transparency_v1,,,,,,
