epoch,lr-AdamW,step,test_loss,test_top1,test_top3,test_top5,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5
,0.001,0,,,,,,,,,,,,
0,,15,,,,,,,,,5.478708267211914,1.476641297340393,3.782407760620117,5.421226501464844
0,,15,,,,,5.508723258972168,0.32867148518562317,0.7204903960227966,1.5416486263275146,,,,
,0.001,16,,,,,,,,,,,,
1,,31,,,,,,,,,5.313163757324219,2.2969465255737305,6.957815170288086,8.596633911132812
1,,31,,,,,5.427168369293213,1.9119443893432617,4.197732448577881,6.853909015655518,,,,
,0.001,32,,,,,,,,,,,,
2,,47,,,,,,,,,4.901188373565674,3.816492795944214,8.973312377929688,15.196606636047363
2,,47,,,,,5.141546726226807,2.467729091644287,6.064734935760498,9.794266700744629,,,,
,0.001,48,,,,,,,,,,,,
3,,63,,,,,,,,,4.473994255065918,8.922184944152832,17.8090877532959,28.02690315246582
3,,63,,,,,4.699991226196289,4.6423444747924805,11.451367378234863,16.971755981445312,,,,
,0.001,64,,,,,,,,,,,,
4,,79,,,,,,,,,4.076216697692871,17.980085372924805,34.122100830078125,40.69501876831055
4,,79,,,,,4.212644577026367,14.415787696838379,27.79134178161621,37.922767639160156,,,,
,0.001,80,,,,,,,,,,,,
5,,95,,,,,,,,,3.713383674621582,25.577791213989258,46.18441390991211,58.460601806640625
5,,95,,,,,3.8272042274475098,24.564870834350586,44.09389877319336,54.82926940917969,,,,
,0.001,96,,,,,,,,,,,,
6,,111,,,,,,,,,3.4068572521209717,29.46945571899414,57.40935516357422,69.80543518066406
6,,111,,,,,3.413252353668213,35.32087326049805,57.53727722167969,68.77912902832031,,,,
,0.001,112,,,,,,,,,,,,
7,,127,,,,,,,,,3.152888059616089,40.259586334228516,63.75254440307617,76.61752319335938
7,,127,,,,,3.110752582550049,45.93512725830078,68.2917251586914,78.97795867919922,,,,
,0.001,128,,,,,,,,,,,,
8,,143,,,,,,,,,2.831686496734619,51.015663146972656,73.21879577636719,81.67089080810547
8,,143,,,,,2.7265379428863525,58.500362396240234,80.56614685058594,87.46363830566406,,,,
,0.001,144,,,,,,,,,,,,
9,,159,,,,,,,,,2.538120985031128,61.3709831237793,80.03087615966797,85.31578826904297
9,,159,,,,,2.4014596939086914,67.0113754272461,88.33273315429688,93.05267333984375,,,,
,0.001,160,,,,,,,,,,,,
10,,175,,,,,,,,,2.2882297039031982,64.20439910888672,82.51526641845703,90.43911743164062
10,,175,,,,,2.1014397144317627,77.39781188964844,93.44384002685547,96.82428741455078,,,,
,0.001,176,,,,,,,,,,,,
11,,191,,,,,,,,,2.1114163398742676,68.56736755371094,86.77598571777344,91.88167572021484
11,,191,,,,,1.8069578409194946,83.95513153076172,96.45710754394531,97.6906967163086,,,,
,0.001,192,,,,,,,,,,,,
12,,207,,,,,,,,,1.951041579246521,72.74227905273438,85.4615249633789,91.54850006103516
12,,207,,,,,1.6374365091323853,84.8099365234375,96.8367691040039,98.6815414428711,,,,
,0.001,208,,,,,,,,,,,,
13,,223,,,,,,,,,1.7593494653701782,75.88300323486328,89.72164154052734,93.36714172363281
13,,223,,,,,1.4352718591690063,87.29979705810547,97.75658416748047,98.74922180175781,,,,
,0.001,224,,,,,,,,,,,,
14,,239,,,,,,,,,1.6626665592193604,75.28541564941406,87.93708801269531,93.36654663085938
14,,239,,,,,1.2770124673843384,90.60477447509766,98.35928344726562,99.39896392822266,,,,
,0.001,240,,,,,,,,,,,,
15,,255,,,,,,,,,1.464985966682434,77.6845932006836,90.23403930664062,95.1939926147461
15,,255,,,,,1.1258022785186768,91.49788665771484,99.19538116455078,99.80908203125,,,,
,0.001,256,,,,,,,,,,,,
16,,271,,,,,,,,,1.3916817903518677,81.96997833251953,89.38846588134766,93.0339584350586
16,,271,,,,,0.9616026878356934,93.59203338623047,99.35164642333984,99.7489242553711,,,,
,0.001,272,,,,,,,,,,,,
17,,287,,,,,,,,,1.3675041198730469,74.7647933959961,88.92719268798828,92.2142562866211
17,,287,,,,,0.8196555376052856,96.7320785522461,99.62712860107422,99.75691223144531,,,,
,0.001,288,,,,,,,,,,,,
18,,303,,,,,,,,,1.2148455381393433,78.81983947753906,89.90086364746094,94.35725402832031
18,,303,,,,,0.7331388592720032,96.80545043945312,99.78931427001953,99.89305877685547,,,,
,0.001,304,,,,,,,,,,,,
19,,319,,,,,,,,,1.138492465019226,81.50109100341797,91.87345123291016,94.86141967773438
19,,319,,,,,0.6284000873565674,97.87470245361328,99.88341522216797,100.0,,,,
,0.001,320,,,,,,,,,,,,
20,,335,,,,,,,,,1.0047976970672607,85.89752960205078,92.06912231445312,95.53539276123047
20,,335,,,,,0.5574422478675842,98.45735168457031,100.0,100.0,,,,
,0.001,336,,,,,,,,,,,,
21,,351,,,,,,,,,0.9367052316665649,85.77705383300781,93.20496368408203,94.21211242675781
21,,351,,,,,0.4615655541419983,99.30735778808594,100.0,100.0,,,,
,0.001,352,,,,,,,,,,,,
22,,367,,,,,,,,,0.8722409009933472,85.08543395996094,93.39239501953125,96.02192687988281
22,,367,,,,,0.4032784104347229,99.29574584960938,100.0,100.0,,,,
,0.001,368,,,,,,,,,,,,
23,,383,,,,,,,,,0.8437793254852295,86.74130249023438,92.2142562866211,96.2011489868164
23,,383,,,,,0.3509886562824249,99.80844116210938,100.0,100.0,,,,
,0.001,384,,,,,,,,,,,,
24,,399,,,,,,,,,0.7966854572296143,86.75894165039062,93.53753662109375,95.87679290771484
24,,399,,,,,0.30627989768981934,99.765869140625,100.0,100.0,,,,
,0.001,400,,,,,,,,,,,,
25,,415,,,,,,,,,0.788395881652832,87.8859634399414,93.21318054199219,94.3742904663086
25,,415,,,,,0.2834186255931854,99.76817321777344,100.0,100.0,,,,
,0.001,416,,,,,,,,,,,,
26,,431,,,,,,,,,0.7380426526069641,86.92171478271484,93.5463638305664,95.04885864257812
26,,431,,,,,0.2535555958747864,99.74807739257812,100.0,100.0,,,,
,0.001,432,,,,,,,,,,,,
27,,447,,,,,,,,,0.7004475593566895,88.40657806396484,93.10213470458984,95.70579528808594
27,,447,,,,,0.23232950270175934,99.89495849609375,100.0,100.0,,,,
,0.001,448,,,,,,,,,,,,
28,,463,,,,,,,,,0.6813821196556091,89.86677551269531,93.4012222290039,95.72283172607422
28,,463,,,,,0.20229215919971466,99.81602478027344,100.0,100.0,,,,
,0.001,464,,,,,,,,,,,,
29,,479,,,,,,,,,0.6609124541282654,88.89311218261719,92.5644760131836,95.36439514160156
29,,479,,,,,0.1773240715265274,99.8875503540039,100.0,100.0,,,,
,0.001,480,,,,,,,,,,,,
30,,495,,,,,,,,,0.6442980170249939,87.54456329345703,92.88060760498047,96.21818542480469
30,,495,,,,,0.16293247044086456,99.81873321533203,100.0,100.0,,,,
,0.001,496,,,,,,,,,,,,
31,,511,,,,,,,,,0.6348732709884644,88.91897583007812,92.90586853027344,94.39955139160156
31,,511,,,,,0.15356186032295227,99.8602523803711,100.0,100.0,,,,
,0.001,512,,,,,,,,,,,,
32,,527,,,,,,,,,0.5997851490974426,89.87499237060547,93.73379516601562,95.3814468383789
32,,527,,,,,0.13512863218784332,99.7955551147461,100.0,100.0,,,,
,0.001,528,,,,,,,,,,,,
33,,543,,,,,,,,,0.5793589949607849,89.92613220214844,95.04004669189453,95.70579528808594
33,,543,,,,,0.12131979316473007,99.89892578125,100.0,100.0,,,,
,0.001,544,,,,,,,,,,,,
34,,559,,,,,,,,,0.5658656358718872,90.4214859008789,94.22032928466797,96.19232940673828
34,,559,,,,,0.11224789917469025,99.89337921142578,100.0,100.0,,,,
,0.001,560,,,,,,,,,,,,
35,,575,,,,,,,,,0.5550355911254883,90.0712661743164,94.71569061279297,96.19232940673828
35,,575,,,,,0.10357901453971863,99.9214096069336,100.0,100.0,,,,
,0.001,576,,,,,,,,,,,,
36,,591,,,,,,,,,0.5646188855171204,90.24226379394531,93.19613647460938,95.86797332763672
36,,591,,,,,0.10173922777175903,99.89168548583984,100.0,100.0,,,,
,0.001,592,,,,,,,,,,,,
37,,607,,,,,,,,,0.5636134743690491,88.2361831665039,92.22307586669922,95.52657318115234
37,,607,,,,,0.0923367515206337,99.88946533203125,100.0,100.0,,,,
,0.001,608,,,,,,,,,,,,
