val_loss,val_top1,val_top3,val_top5,train_loss,train_top1,train_top3,train_top5,epoch
3.379561185836792,0.0,8.825372695922852,16.151052474975586,3.620476245880127,2.244835376739502,6.572945594787598,9.382473945617676,0
3.338113784790039,11.618078231811523,19.400388717651367,31.101970672607422,3.4231247901916504,3.776035785675049,9.695637702941895,15.181267738342285,1
3.0389974117279053,14.395918846130371,27.919288635253906,35.96839904785156,3.216135263442993,7.5296220779418945,16.728206634521484,34.765262603759766,2
2.899184465408325,4.631628513336182,27.642545700073242,43.8869514465332,3.093472957611084,6.636513710021973,21.3575382232666,33.093780517578125,3
2.8284826278686523,20.27341079711914,40.63411331176758,48.399192810058594,3.000676155090332,10.918722152709961,21.750526428222656,36.6549186706543,4
2.5846452713012695,27.793842315673828,47.118770599365234,70.8754653930664,2.8199191093444824,12.448991775512695,29.401777267456055,43.81473922729492,5
2.4275081157684326,41.60294723510742,64.32585906982422,71.34601593017578,2.704974889755249,16.31068229675293,40.14570999145508,56.498573303222656,6
2.0604398250579834,40.06074523925781,70.08377075195312,84.211181640625,2.4101672172546387,31.969707489013672,55.4453125,75.5477523803711,7
1.7100557088851929,56.9999885559082,87.42227172851562,93.60926055908203,2.1235504150390625,39.801177978515625,71.52769470214844,86.92324829101562,8
1.489317774772644,61.73188018798828,90.57427978515625,97.20852661132812,1.7046345472335815,58.74074172973633,83.5049057006836,95.35669708251953,9
1.252485752105713,71.9828109741211,93.87474060058594,94.59088134765625,1.4693076610565186,59.3465690612793,88.70279693603516,96.50342559814453,10
1.0929099321365356,70.82330322265625,93.54450225830078,100.0,1.225102186203003,65.91844177246094,94.8768310546875,100.0,11
0.9243134260177612,78.34249877929688,96.49238586425781,100.0,1.070923089981079,73.73696899414062,98.24354553222656,100.0,12
0.8612400889396667,74.4777603149414,97.20852661132812,100.0,0.8728652596473694,77.13994598388672,99.46690368652344,100.0,13
0.7516622543334961,84.85934448242188,96.49238586425781,100.0,0.7063915133476257,83.72919464111328,99.67557525634766,100.0,14
0.5826067924499512,89.9893569946289,97.20852661132812,100.0,0.6116003394126892,89.33309936523438,99.66478729248047,100.0,15
0.5409879088401794,89.2732162475586,97.20852661132812,100.0,0.4999690055847168,92.32656860351562,100.0,100.0,16
0.5222874879837036,89.9893569946289,97.20852661132812,100.0,0.4312748610973358,94.8952865600586,100.0,100.0,17
0.4585169553756714,91.4182357788086,100.0,100.0,0.39834195375442505,93.12986755371094,100.0,100.0,18
0.46212202310562134,90.3694839477539,97.20852661132812,100.0,0.3083270490169525,95.82093811035156,100.0,100.0,19
0.41859185695648193,90.09842681884766,97.20852661132812,100.0,0.2735097110271454,94.88554382324219,100.0,100.0,20
0.47293180227279663,87.19788360595703,97.20852661132812,100.0,0.2271912544965744,96.20640563964844,100.0,100.0,21
0.3849347233772278,88.17950439453125,97.20852661132812,100.0,0.2340211421251297,96.61152648925781,100.0,100.0,22
0.35263592004776,93.16095733642578,97.20852661132812,100.0,0.16976754367351532,97.35403442382812,100.0,100.0,23
0.35680219531059265,92.1343765258789,97.20852661132812,100.0,0.1624687761068344,96.97317504882812,100.0,100.0,24
0.3263285160064697,92.1343765258789,97.20852661132812,100.0,0.1410651057958603,97.10344696044922,100.0,100.0,25
0.34507042169570923,89.92222595214844,97.20852661132812,100.0,0.12469769269227982,98.46823120117188,100.0,100.0,26
0.327921062707901,95.61983489990234,97.20852661132812,100.0,0.10995613038539886,98.97615814208984,100.0,100.0,27
0.32433998584747314,91.08562469482422,97.20852661132812,100.0,0.13236060738563538,97.9189224243164,100.0,100.0,28
0.38540923595428467,92.1343765258789,97.20852661132812,100.0,0.08225388824939728,99.55049133300781,100.0,100.0,29
0.37418854236602783,89.92222595214844,97.20852661132812,100.0,0.08898570388555527,99.14298248291016,100.0,100.0,30
0.3331325650215149,92.1343765258789,97.20852661132812,100.0,0.071418397128582,99.21073150634766,100.0,100.0,31
0.3615424931049347,91.66496276855469,96.49238586425781,100.0,0.08318933099508286,98.82791900634766,100.0,100.0,32
0.2934580147266388,95.61983489990234,97.20852661132812,100.0,0.056366484612226486,100.0,100.0,100.0,33
0.3488624095916748,91.66496276855469,96.49238586425781,100.0,0.04329994320869446,100.0,100.0,100.0,34
0.29739299416542053,94.45643615722656,97.20852661132812,100.0,0.03555569425225258,100.0,100.0,100.0,35
0.29709091782569885,94.45643615722656,97.20852661132812,100.0,0.03387993201613426,100.0,100.0,100.0,36
0.3066968023777008,92.95106506347656,97.20852661132812,100.0,0.03671124204993248,99.60458374023438,100.0,100.0,37
0.3020394444465637,95.61983489990234,97.20852661132812,100.0,0.0586712583899498,99.01896667480469,100.0,100.0,38
0.318693608045578,94.45643615722656,97.20852661132812,100.0,0.033748988062143326,100.0,100.0,100.0,39
0.2975795865058899,95.61983489990234,97.20852661132812,100.0,0.02693038433790207,100.0,100.0,100.0,40
0.3102971613407135,94.45643615722656,97.20852661132812,100.0,0.02433711662888527,100.0,100.0,100.0,41
0.3153301179409027,94.45643615722656,97.20852661132812,100.0,0.0236609298735857,100.0,100.0,100.0,42
0.3062097132205963,95.61983489990234,97.20852661132812,100.0,0.02276611328125,100.0,100.0,100.0,43
