epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test_loss,test_top1,test_top3,test_top5,train_loss,train_top1,train_top3,train_top5,val_loss,val_top1,val_top3,val_top5
,0.0001,0.001,0,,,,,,,,,,,,
0,,,6,,,,,,,,,3.371946334838867,0.0,10.344827651977539,17.241378784179688
0,,,6,,,,,3.425381660461426,2.4630541801452637,6.403940677642822,11.822660446166992,,,,
,0.0001,0.001,7,,,,,,,,,,,,
1,,,13,,,,,,,,,3.3685202598571777,3.4482758045196533,10.344827651977539,15.517241477966309
1,,,13,,,,,3.38055157661438,0.9852216839790344,6.403940677642822,12.807881355285645,,,,
,0.0001,0.001,14,,,,,,,,,,,,
2,,,20,,,,,,,,,3.3676984310150146,3.4482758045196533,10.344827651977539,20.689655303955078
2,,,20,,,,,3.372199058532715,3.4482758045196533,7.389162540435791,12.807881355285645,,,,
,0.0001,0.001,21,,,,,,,,,,,,
3,,,27,,,,,,,,,3.368124485015869,6.896551609039307,10.344827651977539,17.241378784179688
3,,,27,,,,,3.3704018592834473,3.4482758045196533,10.837438583374023,17.241378784179688,,,,
,0.0001,0.001,28,,,,,,,,,,,,
4,,,34,,,,,,,,,3.3674449920654297,3.4482758045196533,10.344827651977539,17.241378784179688
4,,,34,,,,,3.3687586784362793,3.9408867359161377,9.852216720581055,14.285714149475098,,,,
,0.0001,0.001,35,,,,,,,,,,,,
5,,,41,,,,,,,,,3.3666129112243652,3.4482758045196533,10.344827651977539,17.241378784179688
5,,,41,,,,,3.3682563304901123,3.4482758045196533,9.852216720581055,18.226600646972656,,,,
,0.0001,0.001,42,,,,,,,,,,,,
6,,,48,,,,,,,,,3.3662004470825195,3.4482758045196533,10.344827651977539,18.965517044067383
6,,,48,,,,,3.3668501377105713,4.926108360290527,12.807881355285645,18.71921157836914,,,,
,0.0001,0.001,49,,,,,,,,,,,,
7,,,55,,,,,,,,,3.3661463260650635,3.4482758045196533,12.068965911865234,18.965517044067383
7,,,55,,,,,3.3678946495056152,2.955665111541748,11.330049514770508,16.748767852783203,,,,
,0.0001,0.001,56,,,,,,,,,,,,
8,,,62,,,,,,,,,3.365112781524658,6.896551609039307,15.517241477966309,17.241378784179688
8,,,62,,,,,3.3652846813201904,4.433497428894043,15.76354694366455,21.182266235351562,,,,
,0.0001,0.001,63,,,,,,,,,,,,
9,,,69,,,,,,,,,3.364197254180908,3.4482758045196533,13.793103218078613,25.86206817626953
9,,,69,,,,,3.36274790763855,5.418719291687012,12.315271377563477,20.689655303955078,,,,
,0.0001,0.001,70,,,,,,,,,,,,
10,,,76,,,,,,,,,3.3639256954193115,3.4482758045196533,15.517241477966309,22.413793563842773
10,,,76,,,,,3.3614861965179443,5.911330223083496,18.226600646972656,25.123151779174805,,,,
,0.0001,0.001,77,,,,,,,,,,,,
11,,,83,,,,,,,,,3.3628642559051514,3.4482758045196533,10.344827651977539,15.517241477966309
11,,,83,,,,,3.3583602905273438,3.4482758045196533,19.70443344116211,25.123151779174805,,,,
,0.0001,0.001,84,,,,,,,,,,,,
12,,,90,,,,,,,,,3.361987352371216,3.4482758045196533,10.344827651977539,13.793103218078613
12,,,90,,,,,3.3570661544799805,3.4482758045196533,14.778325080871582,20.689655303955078,,,,
,0.0001,0.001,91,,,,,,,,,,,,
13,,,97,,,,,,,,,3.3610048294067383,5.1724138259887695,10.344827651977539,17.241378784179688
13,,,97,,,,,3.356931447982788,3.9408867359161377,14.778325080871582,21.182266235351562,,,,
,0.0001,0.001,98,,,,,,,,,,,,
14,,,104,,,,,,,,,3.3588924407958984,5.1724138259887695,10.344827651977539,15.517241477966309
14,,,104,,,,,3.350497245788574,3.9408867359161377,13.793103218078613,24.13793182373047,,,,
,0.0001,0.001,105,,,,,,,,,,,,
15,,,111,,,,,,,,,3.3569884300231934,5.1724138259887695,20.689655303955078,27.586206436157227
15,,,111,,,,,3.3505966663360596,7.389162540435791,17.733989715576172,28.07881736755371,,,,
,0.0001,0.001,112,,,,,,,,,,,,
16,,,118,,,,,,,,,3.3542511463165283,3.4482758045196533,18.965517044067383,25.86206817626953
16,,,118,,,,,3.3445541858673096,9.852216720581055,27.586206436157227,35.467979431152344,,,,
,0.0001,0.001,119,,,,,,,,,,,,
17,,,125,,,,,,,,,3.351809501647949,8.620689392089844,13.793103218078613,24.13793182373047
17,,,125,,,,,3.3433845043182373,7.389162540435791,19.211822509765625,31.034482955932617,,,,
,0.0001,0.001,126,,,,,,,,,,,,
18,,,132,,,,,,,,,3.3506391048431396,6.896551609039307,13.793103218078613,20.689655303955078
18,,,132,,,,,3.3428494930267334,7.881773471832275,15.270936012268066,26.108373641967773,,,,
,0.0001,0.001,133,,,,,,,,,,,,
19,,,139,,,,,,,,,3.3443498611450195,3.4482758045196533,12.068965911865234,18.965517044067383
19,,,139,,,,,3.3321187496185303,10.837438583374023,18.71921157836914,29.556650161743164,,,,
20,,,140,,,,,,,,,3.3443498611450195,3.4482758045196533,12.068965911865234,18.965517044067383
20,,,140,3.329192638397217,3.4482758045196533,17.241378784179688,27.586206436157227,,,,,,,,
